metric,candidate,reference,env,n_pairs,candidate_mean_mse,reference_mean_mse,mean_paired_relative_reduction,median_paired_relative_reduction,paired_wins,paired_ties,environment_mean_wins
clean_mse_blackout_transition,hacssmv7,hacsmv4_two_noaux,dmc:finger.spin.occ,5,0.7235350489616394,0.7164966344833374,-0.00986326122521532,-0.007370227544373672,0,0,
clean_mse_blackout_transition,hacssmv7,hacsmv4_two_noaux,dmc:cheetah.run.occ,5,0.4257108807563782,0.4397176504135132,0.030894531027527223,0.04384882751854257,3,0,
clean_mse_blackout_transition,hacssmv7,hacsmv4_two_noaux,ogbench:cube-single.occ,5,0.9699753522872925,0.9670677065849305,-0.003034028655565896,-0.0035230263062316163,2,0,
clean_mse_blackout_transition,hacssmv7,hacsmv4_two_noaux,__overall__,25,,,0.010034685142934747,-0.0035230263062316163,10,0,2
clean_mse_deep_blackout,hacssmv7,hacsmv4_two_noaux,dmc:reacher.hard.occ,5,0.7779529213905334,0.7781212091445923,2.331730361500063e-05,0.003917680852329065,3,0,
clean_mse_deep_blackout,hacssmv7,hacsmv4_two_noaux,dmc:ball_in_cup.catch.occ,5,1.0453264474868775,1.1013808012008668,0.05050242801234471,0.04937062761730014,5,0,
clean_mse_deep_blackout,hacssmv7,hacsmv4_two_noaux,dmc:finger.spin.occ,5,1.1474830150604247,1.1444575309753418,-0.0026195227853686113,0.00021706550233782104,3,0,
clean_mse_deep_blackout,hacssmv7,hacsmv4_two_noaux,dmc:cheetah.run.occ,5,0.6057169795036316,0.6397158026695251,0.053556264907322335,0.04279884218587838,5,0,
clean_mse_deep_blackout,hacssmv7,hacsmv4_two_noaux,ogbench:cube-single.occ,5,1.37190682888031,1.3905319690704345,0.013299256410549298,0.018651834177291063,4,0,
clean_mse_deep_blackout,hacssmv7,hacsmv4_two_noaux,__overall__,25,,,0.022952348769692547,0.018651834177291063,20,0,4
clean_mse_first_post,hacssmv7,hacsmv4_two_noaux,dmc:reacher.hard.occ,5,0.8258150696754456,0.8308597564697265,0.006001978675057956,0.010398047216472731,3,0,
clean_mse_first_post,hacssmv7,hacsmv4_two_noaux,dmc:ball_in_cup.catch.occ,5,0.9343978047370911,0.9775278806686402,0.04352712024883268,0.03742164680209421,5,0,
clean_mse_first_post,hacssmv7,hacsmv4_two_noaux,dmc:finger.spin.occ,5,1.1452091693878175,1.1288960218429565,-0.014452099846928721,-0.015324258490291233,1,0,
